ARTICLE_ID,TITLE,SECTION_TITLE,SECTION_TEXT
690,Art Deco,Bibliography,"
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
*
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 

"
493,Ajax the Lesser,Art,"Ajax and Cassandra'' by Solomon J. Solomon (1886).  In the collection of the Art Gallery of Ballarat in Victoria Australia

The abduction of Cassandra by Ajax was frequently represented in Greek works of art such as the chest of Cypselus described by Pausanias and in extant works.
"
162,Arsenic,Toxicity and precautions,"

Arsenic and many of its compounds are especially potent poisons.

=== Classification ===

Elemental arsenic and arsenic compounds are classified as ""toxic"" and ""dangerous for the environment"" in the European Union under directive 67/548/EEC.

The International Agency for Research on Cancer (IARC) recognizes arsenic and arsenic compounds as group 1 carcinogens and the EU lists arsenic trioxide arsenic pentoxide and arsenate salts as category 1 carcinogens.

Arsenic is known to cause arsenicosis when present in drinking water ""the most common species being arsenate ; As(V) and arsenite H3AsO3; As(III)"".

=== Legal limits food and drink ===

In the United States since 2006 the maximum concentration in drinking water allowed by the Environmental Protection Agency (EPA) is 10 ppb and the FDA set the same standard in 2005 for bottled water. The Department of Environmental Protection for New Jersey set a drinking water limit of 5 ppb in 2006. The IDLH (immediately dangerous to life and health) value for arsenic metal and inorganic arsenic compounds is 5 mg/m3. The Occupational Safety and Health Administration has set the permissible exposure limit (PEL) to a time-weighted average (TWA) of 0.01 mg/m3 and the National Institute for Occupational Safety and Health (NIOSH) has set the recommended exposure limit (REL) to a 15-minute constant exposure of 0.002 mg/m3. The PEL for organic arsenic compounds is a TWA of 0.5 mg/m3.

In 2008 based on its ongoing testing of a wide variety of American foods for toxic chemicals the U.S. Food and Drug Administration set the ""level of concern"" for inorganic arsenic apple and pear juices at 23 ppb based on non-carcinogenic effects and began blocking importation of products in excess of this level; it also required recalls for non-conforming domestic products.  In 2011 the national ''Dr. Oz'' television show broadcast a program highlighting tests performed by an independent lab hired by the producers. Though the methodology was disputed (it did not distinguish between organic and inorganic arsenic) the tests showed levels of arsenic up to 36 ppb.  In response FDA tested the worst brand from the ''Dr.'' ''Oz'' show and found much lower levels. Ongoing testing found 95% of the apple juice samples were below the level of concern. Later testing by Consumer Reports showed inorganic arsenic at levels slightly above 10 ppb and the organization urged parents to reduce consumption.  In July 2013 on consideration of consumption by children chronic exposure and carcinogenic effect the FDA established an ""action level"" of 10 ppb for apple juice the same as the drinking water standard.

Concern about arsenic in rice in Bangladesh was raised in 2002 but at the time only Australia had a legal limit for food (one milligram per kilogram).  Concern was raised about people who were eating U.S. rice exceeding WHO standards for personal arsenic intake in 2005.  In 2011 the People's Republic of China set a food standard of 150 ppb for arsenic.

In the United States in 2012 testing by separate groups of researchers at the Children's Environmental Health and Disease Prevention Research Center at Dartmouth College (early in the year focusing on urinary levels in children) and Consumer Reports (in November) found levels of arsenic in rice that resulted in calls for the FDA to set limits. The FDA released some testing results in September 2012 and as of July 2013 is still collecting data in support of a new potential regulation. It has not recommended any changes in consumer behavior.

Consumer Reports recommended:  
# That the EPA and FDA eliminate arsenic-containing fertilizer drugs and pesticides in food production; 
# That the FDA establish a legal limit for food; 
# That industry change production practices to lower arsenic levels especially in food for children; and 
# That consumers test home water supplies eat a varied diet and cook rice with excess water then draining it off (reducing inorganic arsenic by about one third along with a slight reduction in vitamin content). 
# Evidence-based public health advocates also recommend that given the lack of regulation or labeling for arsenic in the U.S. children should eat no more than 1.5 servings per week of rice and should not drink rice milk as part of their daily diet before age 5.  They also offer recommendations for adults and infants on how to limit arsenic exposure from rice drinking water and fruit juice.
A 2014 World Health Organization advisory conference was scheduled to consider limits of 200–300 ppb for rice.

=== Occupational exposure limits ===




Country

Limit



Argentina

Confirmed human carcinogen



Australia

TWA 0.05 mg/m3Carcinogen



Belgium

TWA 0.1 mg/m3Carcinogen



Bulgaria

Confirmed human carcinogen



Colombia

Confirmed human carcinogen



Denmark

TWA 0.01 mg/m3



Finland

Carcinogen



Egypt

TWA 0.2 mg/m3



Hungary

Ceiling concentration 0.01 mg/m3 Skin carcinogen



India

TWA 0.2 mg/m3



Japan

Group 1 carcinogen



Jordan

Confirmed human carcinogen



Mexico

TWA 0.2 mg/m3



New Zealand

TWA 0.05 mg/m3Carcinogen



Norway

TWA 0.02 mg/m3



Philippines

TWA 0.5 mg/m3



Poland

TWA 0.01 mg/m3



Singapore

Confirmed human carcinogen



South Korea

TWA 0.01 mg/m3



Sweden

TWA 0.01 mg/m3



Thailand

TWA 0.5 mg/m3



Turkey

TWA 0.5 mg/m3



United Kingdom

TWA 0.1 mg/m3



United States

TWA 0.01 mg/m3



Vietnam

Confirmed human carcinogen



=== Ecotoxicity ===

Arsenic is bioaccumulative in many organisms marine species in particular but it does not appear to biomagnify significantly in food webs. In polluted areas plant growth may be affected by root uptake of arsenate which is a phosphate analog and therefore readily transported in plant tissues and cells. In polluted areas uptake of the more toxic arsenite ion (found more particularly in reducing conditions) is likely in poorly-drained soils.

=== Toxicity in Animals ===



Compound

Animal

LD50

Route



Arsenic

Rat

763 mg/kg

oral



Arsenic

Mouse

145 mg/kg

oral



Calcium arsenate

Rat

20 mg/kg

oral



Calcium arsenate

Mouse

794 mg/kg

oral



Calcium arsenate

Rabbit

50 mg/kg

oral



Calcium arsenate

Dog

38 mg/kg

oral



Lead arsenate

Rabbit

75 mg/kg

oral






Compound

Animal

LD50

Route



Arsenic trioxide (As(III))

Mouse

26 mg/kg

oral



Arsenite (As(III))

Mouse

8 mg/kg

im



Arsenate (As(V))

Mouse

21 mg/kg

im



MMA (As(III))

Hamster

2 mg/kg

ip



MMA (As(V))

Mouse

916 mg/kg

oral



DMA (As(V))

Mouse

648 mg/kg

oral



im = injected intramuscularly
ip = administered intraperitoneally



=== Biological mechanism ===

Arsenic's toxicity comes from the affinity of arsenic(III) oxides for thiols. Thiols in the form of cysteine residues and cofactors such as lipoic acid and coenzyme A are situated at the active sites of many important enzymes.

Arsenic disrupts ATP production through several mechanisms. At the level of the citric acid cycle arsenic inhibits lipoic acid which is a cofactor for pyruvate dehydrogenase. By competing with phosphate arsenate uncouples oxidative phosphorylation thus inhibiting energy-linked reduction of NAD+ mitochondrial respiration and ATP synthesis. Hydrogen peroxide production is also increased which it is speculated has potential to form reactive oxygen species and oxidative stress. These metabolic interferences lead to death from multi-system organ failure. The organ failure is presumed to be from necrotic cell death not apoptosis since energy reserves have been too depleted for apoptosis to occur.


Although arsenic causes toxicity it can also play a protective role.

=== Exposure risks and remediation ===

Occupational exposure and arsenic poisoning may occur in persons working in industries involving the use of inorganic arsenic and its compounds such as wood preservation glass production nonferrous metal alloys and electronic semiconductor manufacturing. Inorganic arsenic is also found in coke oven emissions associated with the smelter industry.

The conversion between As(III) and As(V) is a large factor in arsenic environmental contamination. According to Croal Gralnick Malasarn and Newman ""the understanding of what stimulates As(III) oxidation and/or limits As(V) reduction is relevant for bioremediation of contaminated sites (Croal). The study of chemolithoautotrophic As(III) oxidizers and the heterotrophic As(V) reducers can help the understanding of the oxidation and/or reduction of arsenic.

=== Treatment ===

Treatment of chronic arsenic poisoning is possible. British anti-lewisite (dimercaprol) is prescribed in doses of 5 mg/kg up to 300 mg every 4 hours for the first day then every 6 hours for the second day and finally every 8 hours for 8 additional days. However the USA's Agency for Toxic Substances and Disease Registry (ATSDR) states that the long-term effects of arsenic exposure cannot be predicted. Blood urine hair and nails may be tested for arsenic; however these tests cannot foresee possible health outcomes from the exposure. Long-term exposure and consequent excretion through urine has been linked to bladder and kidney cancer in addition to cancer of the liver prostate skin lungs and nasal cavity.
"
498,Albertus Magnus,External links,"



* 
* 
* 
* 
* 
* 
*  Alberti Magni Works in Latin Online
*  Albertus Magnus on Astrology & Magic
*  ""Albertus Magnus & Prognostication by the Stars""
*  Albertus Magnus: ""Secrets of the Virtues of Herbs Stones and Certain Beasts"" London 1604 full online version.
*  ''Albertus Magnus – De Adhaerendo Deo – On Cleaving to God
*  Online Galleries History of Science Collections University of Oklahoma Libraries High resolution images of works by Albertus Magnus in .jpg and .tiff format.
*  Albertus Magnus works at  SOMNI in the collection of the Duke of Calabria.
**  Alberti Magni De laudibus beate Mariae Virginis Italian digitized codex of 1476 with a completed transcription of his work ""Liber de laudibus gloriosissime Dei genitricis Marie""
**  Albertus Magnus De mirabili scientia Dei Italian digitized codex of 1484 with a transcription of the first part of his ''Summa Theologicae''.
*  ''Compendium theologicae veritatis''. s.l. : s.n. 1480. 322 p. - available online at University Library in Bratislava Digital Library 







































"
472,Amaranth,Ecology,"
Amaranth weed species have an extended period of germination rapid growth and high rates of seed production and have been causing problems for farmers since the mid-1990s. This is partially due to the reduction in tillage reduction in herbicidal use and the evolution of herbicidal resistance in several species where herbicides have been applied more often. The following 9 species of ''Amaranthus'' are considered invasive and noxious weeds in the U.S and Canada: ''A. albus'' ''A. blitoides'' ''A. hybridus'' ''A. palmeri'' ''A. powellii'' ''A. retroflexus'' ''A. spinosus'' ''A. tuberculatus'' and ''A. viridis''.

A new herbicide-resistant strain of ''Amaranthus palmeri'' has appeared; it is glyphosate-resistant and so cannot be killed by herbicides using the chemical. Also this plant can survive in tough conditions. This could be of particular concern to cotton farmers using glyphosate-resistant cotton. The species ''Amaranthus palmeri'' (Palmer amaranth) causes the greatest reduction in soybean yields and has the potential to reduce yields by 17-68% in field experiments. Palmer amaranth is among the ""top five most troublesome weeds"" in the southeast of the United States and has already evolved resistances to dinitroaniline herbicides and acetolactate synthase inhibitors. This makes the proper identification of ''Amaranthus'' species at the seedling stage essential for agriculturalists. Proper weed control needs to be applied before the species successfully colonizes in the crop field and causes significant yield reductions.
"
702,Agarose gel electrophoresis,Properties of agarose gel,"An agarose gel cast in tray used for gel electrophoresis

Agarose gel is a three-dimensional matrix formed of helical agarose molecules in supercoiled bundles that are aggregated into three-dimensional structures with channels and pores through which biomolecules can pass. The 3-D structure is held together with hydrogen bonds and can therefore be disrupted by heating back to a liquid state. The melting temperature is different from the gelling temperature depending on the sources agarose gel has a gelling temperature of 35-42 °C and a melting temperature of 85-95 °C. Low-melting and low-gelling agaroses made through chemical modifications are also available.

Agarose gel has large pore size and good gel strength making it suitable as an anticonvection medium for the electrophoresis of DNA and large protein molecules. The pore size of a 1% gel has been estimated from 100 nm to 200-500 nm and its gel strength allows gels as dilute as 0.15% to form a slab for gel electrophoresis. Low-concentration gels (0.1 - 0.2%) however are fragile and therefore hard to handle. Agarose gel has lower resolving power than polyacrylamide gel for DNA but has a greater range of separation and is therefore used for DNA fragments of usually 50-20000 bp in size. The limit of resolution for standard agarose gel electrophoresis is around 750 kb but resolution of over 6 Mb is possible with pulsed field gel electrophoresis (PFGE). It can also be used to separate large proteins and it is the preferred matrix for the gel electrophoresis of particles with effective radii larger than 5-10 nm. A 0.9% agarose gel has pores large enough for the entry of bacteriophage T4.

The agarose polymer contains charged groups in particular pyruvate and sulphate.  These negatively charged groups create a flow of water in the opposite direction to the movement of DNA in a process called electroendosmosis (EEO) and can therefore retard the movement of DNA and cause blurring of bands. Higher concentration gel would have higher electroosmotic flow. Low EEO agarose is therefore generally preferred for use in agarose gel electrophoresis of nucleic acids but high EEO agarose may be used for other purposes. The lower sulphate content of low EEO agarose particularly low-melting point (LMP) agarose is also beneficial in cases where the DNA extracted from gel is to be used for further manipulation as the presence of contaminating sulphates may affect some subsequent procedures such as ligation and PCR.  Zero EEO agaroses however are undesirable for some applications as they may be made by adding positively charged groups and such groups can affect subsequent enzyme reactions.   Electroendosmosis is a reason agarose is used in preference to agar as the agaropectin component in agar contains a significant amount of negatively charged sulphate and carboxyl groups. The removal of agaropectin in agarose substantially reduce the EEO as well as reducing the non-specific adsorption of biomolecules to the gel matrix.  However for some applications such as the electrophoresis of serum proteins a high EEO may be desirable and agaropeptin may be added in the gel used.
"
50,Assistive technology,Visual impairments,"
Many people with serious visual impairments live independently using a wide range of tools and techniques.  Examples of assistive technology for visually impairment include screen readers screen magnifiers Braille embossers desktop video magnifiers and voice recorders.

=== Screen readers ===


Screen readers allow the visually impaired to easily access electronic information. These software programs connect to a computer to read the text displayed out loud. There are a variety of platforms and applications available for a variety of costs.Braille is a system of raised dots representing letters numbers punctuation and words.

=== Braille and braille embossers ===

Braille is a system of raised dots formed into units called braille cells. A full braille cell is made up of six dots with two parallel rows of three dots but other combinations and quantities of dots represent other letters numbers punctuation marks or words. People can then use their fingers to read the code of raised dots.

A braille embosser is simply put a printer for braille. Instead of a standard printer adding ink onto a page the braille embosser imprints the raised dots of braille onto a page. Some braille embossers combine both braille and ink so the documents can be read with either sight or touch.

=== Desktop video magnifier ===

Desktop video magnifiers are electronic devices that use a camera and a display screen to perform digital magnification of printed materials. They enlarge printed pages for those with low vision. A camera connects to a monitor that displays real time images and the user can control settings such as magnification focus contrast underlining highlighting and other screen preferences. They come in a variety of sizes and styles; some are small and portable with handheld cameras while others are much larger and mounted on a fixed stand.

=== Screen magnification software ===

A screen magnifier is software that interfaces with a computer's graphical output to present enlarged screen content. It allows users to enlarge the texts and graphics on their computer screens for easier viewing. Similar to desktop video magnifiers this technology assists people with low vision. After the user loads the software into their computer's memory it serves as a kind of ""computer magnifying glass."" Wherever the computer cursor moves it enlarges the area around it. This allows greater computer accessibility for a wide range of visual abilities.

alt=MAGic Large Print This MAGic large-print keyboard has tactile elements and special keys for the visually impaired

=== Large-print and tactile keyboards ===
A large-print keyboard has large letters printed on the keys.  On the keyboard shown the round buttons at the top control software which can magnify the screen (zoom in) change the background color of the screen or make the mouse cursor on the screen larger.  The ""bump dots"" on the keys installed in this case by the organization using the keyboards help the user find the right keys in a tactile way.

=== Navigation Assistance ===
Assistive technology for navigation has exploded on the  IEEE Xplore database since 2000 with over 7500 engineering articles written on assistive technologies and visual impairment in the past 25 years and over 1300 articles on solving the problem of navigation for people who are blind or visually impaired. As well over 600 articles on augmented reality and visual impairment have appeared in the engineering literature since 2000. Most of these articles were published within the past 5 years and the number of articles in this area is increasing every year. GPS accelerometers gyroscopes and cameras can pinpoint the exact location of the user and provide information on what’s in the immediate vicinity and assistance in getting to a destination.

Some navigation assistants (for both indoors and outdoors) include:
#  Ariadne GPS
#  Be My Eyes
#  Blavigator
#  BlindSquare
#  BrailleNote GPS
#  Buzzclip
#  Cydalion
#  EyeMusic
#  GetThere
#  Horus
#  Low Viz Guide
#  Nearby Explorer
#  PERCEPT System
#  Sendero GPS LookAround
#  Talking Goggles
#  The vOICe
#  WalkyTalky
"
556,Alypius of Antioch,Sources,"*Todd M. ''Roman Britain'' Fontana London 1985
*Salway P. ''Roman Britain'' Oxford 1986












"
704,Ampicillin,Cost,"Its wholesale costs is between US$0.13 and 1.20 for a vial of the intravenous solution as of 2014. In the United States it is available as a generic medication and 10 days of treatment cost about $13.
"
38,Agriculture,Energy and agriculture,"
Since the 1940s agricultural productivity has increased dramatically due largely to the increased use of energy-intensive mechanization fertilizers and pesticides. The vast majority of this energy input comes from fossil fuel sources. Between the 1960–65 measuring cycle and the cycle from 1986 to 1990 the Green Revolution transformed agriculture around the globe with world grain production increasing significantly (between 70% and 390% for wheat and 60% to 150% for rice depending on geographic area) as world population doubled. Modern agriculture's heavy reliance on petrochemicals and mechanization has raised concerns that oil shortages could increase costs and reduce agricultural output causing food shortages.






Agriculture and food system share (%) of total energyconsumption by three industrialized nations



 Country

 Year

 Agriculture(direct & indirect)

 Foodsystem



 United Kingdom

 2005

 1.9

 11



 United States

 2002

 2.0

 14



 Sweden

 2000

 2.5

 13



Modern or industrialized agriculture is dependent on fossil fuels in two fundamental ways: 1. direct consumption on the farm and 2. indirect consumption to manufacture inputs used on the farm. Direct consumption includes the use of lubricants and fuels to operate farm vehicles and machinery; and use of gasoline liquid propane and electricity to power dryers pumps lights heaters and coolers. American farms directly consumed about 1.2 exajoules (1.1 quadrillion BTU) in 2002 or just over 1% of the nation's total energy.

Indirect consumption is mainly oil and natural gas used to manufacture fertilizers and pesticides which accounted for 0.6 exajoules (0.6 quadrillion BTU) in 2002. The natural gas and coal consumed by the production of nitrogen fertilizer can account for over half of the agricultural energy usage. China utilizes mostly coal in the production of nitrogen fertilizer while most of Europe uses large amounts of natural gas and small amounts of coal. According to a 2010 report published by The Royal Society agriculture is increasingly dependent on the direct and indirect input of fossil fuels. Overall the fuels used in agriculture vary based on several factors including crop production system and location. The energy used to manufacture farm machinery is also a form of indirect agricultural energy consumption. Together direct and indirect consumption by US farms accounts for about 2% of the nation's energy use. Direct and indirect energy consumption by U.S. farms peaked in 1979 and has gradually declined over the past 30 years. Food systems encompass not just agricultural production but also off-farm processing packaging transporting marketing consumption and disposal of food and food-related items. Agriculture accounts for less than one-fifth of food system energy use in the US.

===  ===

M. King Hubbert's prediction of world petroleum production rates. Modern agriculture is totally reliant on petroleum energy

In the event of a petroleum shortage (see peak oil for global concerns) organic agriculture can be more attractive than conventional practices that use petroleum-based pesticides herbicides or fertilizers. Some studies using modern organic-farming methods have reported yields equal to or higher than those available from conventional farming. In the aftermath of the fall of the Soviet Union with shortages of conventional petroleum-based inputs Cuba made use of mostly organic practices including biopesticides plant-based pesticides and sustainable cropping practices to feed its populace. However organic farming may be more labor-intensive and would require a shift of the workforce from urban to rural areas. The reconditioning of soil to restore organic matter lost during the use of monoculture agriculture techniques is important to provide a reservoir of plant-available nutrients to maintain texture and to minimize erosion.

It has been suggested that rural communities might obtain fuel from the biochar and synfuel process which uses agricultural ''waste'' to provide charcoal fertilizer some fuel ''and'' food instead of the normal food vs. fuel debate. As the synfuel would be used on-site the process would be more efficient and might just provide enough fuel for a new organic-agriculture fusion.

It has been suggested that some transgenic plants may some day be developed which would allow for maintaining or increasing yields while requiring fewer fossil-fuel-derived inputs than conventional crops. The possibility of success of these programs is questioned by ecologists and economists concerned with unsustainable GMO practices such as terminator seeds. While there has been some research on sustainability using GMO crops at least one prominent multi-year attempt by Monsanto Company has been unsuccessful though during the same period traditional breeding techniques yielded a more sustainable variety of the same crop.
"
